year,"inflation (all, demeaned)",rho,nu,u
1965,-1.33382016010332,0.964464123870744,-2.28716390423567,-0.011120379738395
1965.25,0.0832198611831453,0.701974348909254,-2.60078072172167,1.98202623399556
1965.5,-1.2255088841859,0.663851591968563,-2.60716435822149,0.71780388206702
1965.75,-2.22159363300503,1.11227478959034,-1.63684272168682,-1.69702570090855
1966,1.40964105021606,0.698137221625967,-0.907597248429199,1.61910107701929
1966.25,0.682540413704819,0.548915997191535,-0.850166624151759,0.983791040665043
1966.5,0.28119834902507,0.467879543863342,-0.617322451498821,0.430641256660548
1966.75,0.0834831982383876,-0.0534135363356562,-1.51849607023006,1.6553928048041
1967,-2.54406687993473,0.0398534642823258,-1.16785253388319,-1.41606781033387
1967.25,-1.26894538220659,0.25957496081694,-0.156521516301717,-1.37199882672181
1967.5,2.00977716348315,-0.0254931223084533,0.062499855575162,1.97277043021644
1967.75,0.84038469968089,0.118239068670066,0.745313880241476,-0.0231682492306529
1968,1.45750501352925,-0.0362386990685366,0.635244791819291,0.858498920778491
1968.25,1.16756783415724,0.095029486792126,0.67143324892535,0.401105098439761
1968.5,1.4468624146378,0.179929063897381,0.962587066567165,0.304346284173252
1968.75,1.77125245818383,0.170576300122133,0.554709389776281,1.04596676828542
1969,0.563023099590773,0.73858338399623,1.12053674191081,-1.29609702631626
1969.25,2.55009462222075,0.605986410010399,0.931446083721376,1.01266212848898
1969.5,2.249748115829,0.623994894441784,0.813342140885385,0.812411080501829
1969.75,1.48794016415107,0.701341934872949,0.852104678164934,-0.0655064488868157
1970,1.61782762411125,0.557494227760157,0.584837706319962,0.47549569003113
1970.25,1.03132474488678,0.163175379907329,0.610214194422804,0.257935170556651
1970.5,0.545720841848624,0.293290453185647,1.1079256232927,-0.855495234629723
1970.75,2.21335659964486,-0.37716995529967,0.70349454451502,1.88703201042951
1971,-0.114068463469252,0.0200734549059591,0.962246676908126,-1.09638859528334
1971.25,1.57324736957291,0.288637276750228,0.270019790651925,1.01459030217075
1971.5,-0.0485281972487242,0.446358840471368,-1.16162744581267,0.666740408092579
1971.75,-1.07943989866,0.53146048694371,-0.383669738968745,-1.22723064663496
1972,1.81582828727279,0.256584693593259,-1.2244463091439,2.78368990282343
1972.25,-0.95192081271105,0.828572501997525,-0.618985919469168,-1.16150739523941
1972.5,0.858658211946056,1.06269999470062,-0.917468584019097,0.713426801264529
1972.75,0.543340344851529,1.84018976429691,-0.561589425833223,-0.73525999361216
1973,4.11441559975864,2.3662624497554,1.12982112895091,0.618332021052322
1973.25,6.90159889171635,2.35454183186487,1.15220776921216,3.39484929063931
1973.5,5.30060423030902,3.27369651151769,2.13408181849937,-0.107174099708046
1973.75,6.58770217464444,5.11984436370012,3.05306577662847,-1.58520796568415
1974,13.2410057488456,3.4461787158338,4.75207185314653,5.04275517986522
1974.25,10.8622066595392,1.8271811301389,5.46983162564832,3.56519390375197
1974.5,10.0195178401815,1.5317439150263,5.25357440475361,3.23419952040161
1974.75,9.29662229141595,0.499595836151524,3.96687191892708,4.83015453633735
1975,3.61134407568253,-0.2759337532131,1.13506304094726,2.75221478794837
1975.25,0.825261627208761,0.961288346500779,1.9249254937085,-2.06095221300051
1975.5,5.31369199372884,0.269350344624609,2.40504129656064,2.6393003525436
1975.75,3.16347602990681,-0.864995586064689,1.96909131544151,2.05938030052998
1976,-0.273117052059008,-0.822757110868254,1.30309512703684,-0.753455068227592
1976.25,-0.895276394102908,-0.405248802242068,2.81011901219225,-3.30014660405309
1976.5,2.68037438050274,-0.357037178704507,2.84224407077412,0.195167488433122
1976.75,3.41813413131759,-0.0360144127943466,3.00678229407553,0.447366250036404
1977,4.05610963615741,-0.00209320359380691,2.47581203658633,1.58239080316488
1977.25,3.39657131978683,-0.553843932973841,2.32821800982669,1.62219724293398
1977.5,1.91589872163627,-0.404920536822409,2.38765991979287,-0.0668406613341959
1977.75,2.64648649427329,-0.248533464093336,3.39751658285126,-0.50249662448464
1978,3.19624376256997,0.620271700127258,3.89380416019518,-1.31783209775247
1978.25,6.1670134843498,0.221705750256228,3.51622033365054,2.42908740044303
1978.5,4.26494989605655,0.504358981047176,3.60614726141267,0.154443653596706
